2025-04-25 19:26:57.507 | INFO     | app.main:lifespan:19 - Application startup sequence initiated...
2025-04-25 19:26:57.658 | INFO     | app.logging_setup:start_metrics_server:81 - Prometheus metrics server started on port 8001
2025-04-25 19:26:57.700 | ERROR    | app.cache:init_redis_pool:24 - Failed to connect to Redis (via redis-py) at redis://redis:6379/0: Error 8 connecting to redis:6379. nodename nor servname provided, or not known.
2025-04-25 19:26:57.701 | INFO     | app.emotion_pipeline:load_emotion_model:21 - Attempting to load emotion model: j-hartmann/emotion-english-distilroberta-base...
2025-04-25 19:26:57.833 | INFO     | app.emotion_pipeline:load_emotion_model:33 - Using device: mps for emotion model.
2025-04-25 19:28:01.221 | INFO     | app.emotion_pipeline:load_emotion_model:49 - Successfully loaded emotion model 'j-hartmann/emotion-english-distilroberta-base' on mps.
2025-04-25 19:28:01.360 | INFO     | app.llm_service:configure_genai:16 - Google Generative AI client configured successfully.
2025-04-25 19:28:01.360 | INFO     | app.main:lifespan:28 - Application startup sequence completed.
2025-04-25 19:32:25.889 | INFO     | app.main:chat_endpoint:143 - [ReqID: req_d1dbead4] Received chat request: 'hiii...'
2025-04-25 19:32:25.894 | ERROR    | app.cache:get_redis:42 - Redis pool is not initialized or connection failed.
2025-04-25 19:32:25.895 | INFO     | app.main:chat_endpoint:170 - [ReqID: req_d1dbead4] Cache miss or invalid data. Processing request...
2025-04-25 19:32:25.895 | INFO     | app.utils:wrapper:76 - Starting 'Emotion Analysis'...
2025-04-25 19:32:30.440 | INFO     | app.emotion_pipeline:analyze_emotions:108 - Emotion analysis for text 'hiii...': Primary=neutral (0.860), Intensity=8.6
2025-04-25 19:32:30.442 | INFO     | app.utils:wrapper:86 - 'Emotion Analysis' completed successfully in 4.5466 seconds.
2025-04-25 19:32:30.442 | INFO     | app.utils:wrapper:76 - Starting 'Gemini LLM Call'...
2025-04-25 19:32:32.633 | INFO     | app.llm_service:generate_emotional_response:101 - Received response from Gemini (gemini-2.0-flash): 'Hi! How can I help you today?...'
2025-04-25 19:32:32.634 | INFO     | app.utils:wrapper:86 - 'Gemini LLM Call' completed successfully in 2.1921 seconds.
2025-04-25 19:32:32.634 | ERROR    | app.cache:get_redis:42 - Redis pool is not initialized or connection failed.
